"";"County Name";"Population"
"405";"Angelina";"90437"
"406";"Angelina";"90437"
"407";"Angelina";"90437"
"408";"Angelina";"90437"
"409";"Angelina";"90437"
"410";"Angelina";"90437"
"411";"Angelina";"90437"
"412";"Aransas";"27699"
"413";"Aransas";"27699"
"414";"Aransas";"27699"
"415";"Aransas";"27699"
"416";"Aransas";"27699"
"417";"Aransas";"27699"
"418";"Aransas";"27699"
"419";"Aransas";"27699"
"420";"Aransas";"27699"
"421";"Aransas";"27699"
"422";"Aransas";"27699"
"423";"Aransas";"27699"
"424";"Aransas";"27699"
"425";"Aransas";"27699"
"426";"Aransas";"27699"
"427";"Aransas";"27699"
"428";"Aransas";"27699"
"429";"Aransas";"27699"
"430";"Aransas";"27699"
"431";"Aransas";"27699"
"432";"Aransas";"27699"
"433";"Aransas";"27699"
"434";"Aransas";"27699"
"435";"Aransas";"27699"
"436";"Aransas";"27699"
"437";"Aransas";"27699"
"438";"Aransas";"27699"
"439";"Aransas";"27699"
"440";"Aransas";"27699"
"441";"Aransas";"27699"
"442";"Aransas";"27699"
"443";"Aransas";"27699"
"444";"Aransas";"27699"
"445";"Aransas";"27699"
"446";"Aransas";"27699"
"447";"Aransas";"27699"
"448";"Aransas";"27699"
"449";"Aransas";"27699"
"450";"Aransas";"27699"
"451";"Aransas";"27699"
"452";"Aransas";"27699"
"453";"Aransas";"27699"
"454";"Aransas";"27699"
"455";"Aransas";"27699"
"456";"Aransas";"27699"
"457";"Aransas";"27699"
"458";"Aransas";"27699"
"459";"Aransas";"27699"
"460";"Aransas";"27699"
"461";"Aransas";"27699"
"462";"Aransas";"27699"
"463";"Aransas";"27699"
"464";"Aransas";"27699"
"465";"Aransas";"27699"
"466";"Aransas";"27699"
"467";"Aransas";"27699"
"468";"Aransas";"27699"
"469";"Aransas";"27699"
"470";"Aransas";"27699"
"471";"Aransas";"27699"
"472";"Aransas";"27699"
"473";"Aransas";"27699"
"474";"Aransas";"27699"
"475";"Aransas";"27699"
"476";"Aransas";"27699"
"477";"Aransas";"27699"
"478";"Aransas";"27699"
